start_ts,end_ts,duration_minutes,severity,class,sensor,sensor_rank,sensor_peak_score,sensor_mean_score,alert_max_score,alert_mean_score,threshold
2026-02-01 01:21:00+00:00,2026-02-01 01:47:00+00:00,27,HIGH,ELEC,DESF_TA__PF_A,1,1.0,0.7673501702401916,0.9239576878821544,0.7168538814244391,MEDIUM
2026-02-01 01:21:00+00:00,2026-02-01 01:47:00+00:00,27,HIGH,ELEC,DESF_TA__PF,2,1.0,0.7108455754006839,0.9239576878821544,0.7168538814244391,MEDIUM
2026-02-01 01:21:00+00:00,2026-02-01 01:47:00+00:00,27,HIGH,ELEC,DESF_TA__PF_C,3,1.0,0.6629409953879244,0.9239576878821544,0.7168538814244391,MEDIUM
2026-02-01 01:21:00+00:00,2026-02-01 01:47:00+00:00,27,HIGH,ELEC,DESF_TA__PF_B,4,1.0,0.5993181209939089,0.9239576878821544,0.7168538814244391,MEDIUM
2026-02-01 01:21:00+00:00,2026-02-01 01:47:00+00:00,27,HIGH,ELEC,DESF_TA__KW_B,5,0.989130710650835,0.6278266434760533,0.9239576878821544,0.7168538814244391,MEDIUM
2026-02-01 01:21:00+00:00,2026-02-01 01:47:00+00:00,27,HIGH,ELEC,DESF_TA__KW_TOT,6,0.9885099819978509,0.6277755771427055,0.9239576878821544,0.7168538814244391,MEDIUM
2026-02-01 01:21:00+00:00,2026-02-01 01:47:00+00:00,27,HIGH,ELEC,DESF_TA__KW_C,7,0.9884687562632911,0.627438635296385,0.9239576878821544,0.7168538814244391,MEDIUM
2026-02-01 01:21:00+00:00,2026-02-01 01:47:00+00:00,27,HIGH,ELEC,DESF_TA__KW_A,8,0.9878873689895893,0.6276095365579389,0.9239576878821544,0.7168538814244391,MEDIUM
2026-02-01 01:21:00+00:00,2026-02-01 01:47:00+00:00,27,HIGH,ELEC,DESF_TA__KVA_B,9,0.947904717567772,0.5815593727699335,0.9239576878821544,0.7168538814244391,MEDIUM
2026-02-01 01:21:00+00:00,2026-02-01 01:47:00+00:00,27,HIGH,ELEC,DESF_TA__J1_I_AVG,10,0.9477177100097975,0.5816053796958881,0.9239576878821544,0.7168538814244391,MEDIUM
2026-02-01 01:21:00+00:00,2026-02-01 01:47:00+00:00,27,HIGH,ELEC,DESF_TA__KVA_TOT,11,0.9461443580001366,0.5811148832983952,0.9239576878821544,0.7168538814244391,MEDIUM
2026-02-01 01:21:00+00:00,2026-02-01 01:47:00+00:00,27,HIGH,ELEC,DESF_TA__J1_IB,12,0.9457665142756877,0.582701314381861,0.9239576878821544,0.7168538814244391,MEDIUM
