sensor,p0_1,p99_9,roc_p99_9,n_running,missing_pct,variance,pf_scale,vll_scale_for_identity,config_start_ts,config_end_ts
DESF_TA__FREC,59.94295512600673,60.05342113545419,0.06452922644020331,9913,0.0,0.00033580135172649536,0.1,1000,2026-02-01 00:00:00+00:00,2026-02-07 23:59:00+00:00
DESF_TA__J1_IA,93.1748480649506,239.3206360530252,89.44945097502499,9913,0.0042658730158730155,598.2618717080145,0.1,1000,2026-02-01 00:00:00+00:00,2026-02-07 23:59:00+00:00
DESF_TA__J1_IB,92.9418074751,241.18089707108345,89.63615829142138,9913,0.0042658730158730155,600.3256236095178,0.1,1000,2026-02-01 00:00:00+00:00,2026-02-07 23:59:00+00:00
DESF_TA__J1_IC,93.98542436155635,241.17661289976468,89.30125116767628,9913,0.0042658730158730155,593.2297463594542,0.1,1000,2026-02-01 00:00:00+00:00,2026-02-07 23:59:00+00:00
DESF_TA__J1_I_AVG,93.41011618171636,240.27313136714162,89.2859295493583,9913,0.0042658730158730155,601.5577603616691,0.1,1000,2026-02-01 00:00:00+00:00,2026-02-07 23:59:00+00:00
DESF_TA__J2_VAB,13.38448969423003,13.93705957684093,0.10419275624045007,9913,0.0,0.009958989885078618,0.1,1000,2026-02-01 00:00:00+00:00,2026-02-07 23:59:00+00:00
DESF_TA__J2_VAN,7.726681495104,8.04875689107861,0.060724382863221044,9913,0.0,0.00338485198131701,0.1,1000,2026-02-01 00:00:00+00:00,2026-02-07 23:59:00+00:00
DESF_TA__J2_VBC,13.392932377241861,13.946339529553088,0.1070082522032334,9913,0.0,0.009939201060457738,0.1,1000,2026-02-01 00:00:00+00:00,2026-02-07 23:59:00+00:00
DESF_TA__J2_VBN,7.730592225068108,8.047942163480082,0.06069752791203754,9913,0.0,0.003282418955613346,0.1,1000,2026-02-01 00:00:00+00:00,2026-02-07 23:59:00+00:00
DESF_TA__J2_VCA,13.385393237688378,13.946057220452,0.10484997964344392,9913,0.0,0.010248363806766622,0.1,1000,2026-02-01 00:00:00+00:00,2026-02-07 23:59:00+00:00
DESF_TA__J2_VCN,7.731027255408,8.053950659204634,0.060416973913059134,9913,0.0,0.0033815162573581797,0.1,1000,2026-02-01 00:00:00+00:00,2026-02-07 23:59:00+00:00
DESF_TA__J2_V_AVG_LL,13.390102628560001,13.94510789006279,0.10615976152235491,9913,0.0,0.010049195456820917,0.1,1000,2026-02-01 00:00:00+00:00,2026-02-07 23:59:00+00:00
DESF_TA__J2_V_AVG_LN,7.731704008168239,8.05272479165465,0.06143933573448591,9913,0.0,0.0033643085481311692,0.1,1000,2026-02-01 00:00:00+00:00,2026-02-07 23:59:00+00:00
DESF_TA__KVAR_A,725.488382483077,989.3576165718775,177.4753378850666,9913,0.0042658730158730155,2042.7729503370274,0.1,1000,2026-02-01 00:00:00+00:00,2026-02-07 23:59:00+00:00
DESF_TA__KVAR_B,720.736299223446,964.6847292511621,168.66091777249,9913,0.0042658730158730155,1722.8875999634342,0.1,1000,2026-02-01 00:00:00+00:00,2026-02-07 23:59:00+00:00
DESF_TA__KVAR_C,7294.062153846154,9650.513791245781,1628.4890622973855,9913,0.0042658730158730155,148011.26512604134,0.1,1000,2026-02-01 00:00:00+00:00,2026-02-07 23:59:00+00:00
DESF_TA__KVAR_TOT,2175.086291645385,2923.0817178413427,509.6285391678046,9913,0.0042658730158730155,15577.684450989635,0.1,1000,2026-02-01 00:00:00+00:00,2026-02-07 23:59:00+00:00
DESF_TA__KVA_A,730.3293285076924,1878.5044962622221,708.5173434809751,9913,0.0042658730158730155,37428.31735813843,0.1,1000,2026-02-01 00:00:00+00:00,2026-02-07 23:59:00+00:00
DESF_TA__KVA_B,728.0129738529599,1884.5632458180285,710.0192470669723,9913,0.0042658730158730155,37572.08931109433,0.1,1000,2026-02-01 00:00:00+00:00,2026-02-07 23:59:00+00:00
DESF_TA__KVA_C,736.8177778208,1887.098517323996,708.6447043999482,9913,0.0042658730158730155,37189.15781664726,0.1,1000,2026-02-01 00:00:00+00:00,2026-02-07 23:59:00+00:00
