start_ts,end_ts,duration_minutes,severity,class,sensor,sensor_rank,sensor_peak_score,sensor_mean_score,alert_max_score,alert_mean_score,threshold
2026-02-02 19:38:00+00:00,2026-02-02 19:44:00+00:00,7,HIGH,SYS_1,DESF_TA__PF,1,3.0684621334075928,3.0684621334075928,0.37216089824915827,0.37216089824915827,ADAPTIVE
2026-02-02 19:38:00+00:00,2026-02-02 19:44:00+00:00,7,HIGH,SYS_1,DESF_TA__PF_C,2,1.7277568578720093,1.7277568578720093,0.37216089824915827,0.37216089824915827,ADAPTIVE
2026-02-02 19:38:00+00:00,2026-02-02 19:44:00+00:00,7,HIGH,SYS_1,DESF_TA__PF_B,3,1.7081369161605835,1.7081369161605835,0.37216089824915827,0.37216089824915827,ADAPTIVE
2026-02-03 04:16:00+00:00,2026-02-03 04:37:00+00:00,22,HIGH,SYS_1,DESF_TA__PF_C,1,2.688183546066284,1.5523126376302618,0.2761091320700352,0.25853492823392893,ADAPTIVE
2026-02-03 04:16:00+00:00,2026-02-03 04:37:00+00:00,22,HIGH,SYS_1,DESF_TA__PF_B,2,1.6412861347198486,1.6178839206695557,0.2761091320700352,0.25853492823392893,ADAPTIVE
2026-02-03 04:16:00+00:00,2026-02-03 04:37:00+00:00,22,HIGH,SYS_1,DESF_TA__PF,3,1.3848469257354736,1.3620904370358116,0.2761091320700352,0.25853492823392893,ADAPTIVE
2026-02-06 15:40:00+00:00,2026-02-06 15:47:00+00:00,8,HIGH,SYS_1,DESF_TA__PF_C,1,4.93345308303833,1.5586627679876983,0.6557741013151692,0.23715449463516453,ADAPTIVE
2026-02-06 15:40:00+00:00,2026-02-06 15:47:00+00:00,8,HIGH,SYS_1,DESF_TA__PF_B,2,4.267442226409912,1.74073754879646,0.6557741013151692,0.23715449463516453,ADAPTIVE
2026-02-06 15:40:00+00:00,2026-02-06 15:47:00+00:00,8,HIGH,SYS_1,DESF_TA__PF,3,2.22579288482666,0.8618122804909945,0.6557741013151692,0.23715449463516453,ADAPTIVE
2026-02-10 05:26:00+00:00,2026-02-10 05:33:00+00:00,8,HIGH,SYS_1,DESF_TA__PF,1,3.9366698265075684,3.5029950737953186,0.5975699070871301,0.5370761492061913,ADAPTIVE
2026-02-10 05:26:00+00:00,2026-02-10 05:33:00+00:00,8,HIGH,SYS_1,DESF_TA__PF_C,2,3.246912717819214,2.953190892934799,0.5975699070871301,0.5370761492061913,ADAPTIVE
2026-02-10 05:26:00+00:00,2026-02-10 05:33:00+00:00,8,HIGH,SYS_1,DESF_TA__PF_B,3,3.2329256534576416,2.9104050397872925,0.5975699070871301,0.5370761492061913,ADAPTIVE
2026-02-02 16:31:00+00:00,2026-02-02 16:38:00+00:00,8,HIGH,SYS_2,DESF_TA__KW_TOT,1,1.4391162395477295,1.068328507244587,0.3085003992294441,0.27909168134961215,ADAPTIVE
2026-02-02 16:31:00+00:00,2026-02-02 16:38:00+00:00,8,HIGH,SYS_2,DESF_TA__KW_A,2,1.4173510074615479,1.0592023953795433,0.3085003992294441,0.27909168134961215,ADAPTIVE
2026-02-02 16:31:00+00:00,2026-02-02 16:38:00+00:00,8,HIGH,SYS_2,DESF_TA__J1_IC,3,1.3764222860336304,1.1347330808639526,0.3085003992294441,0.27909168134961215,ADAPTIVE
2026-02-02 16:31:00+00:00,2026-02-02 16:38:00+00:00,8,HIGH,SYS_2,DESF_TA__J1_IB,4,1.3254575729370117,1.1376580595970154,0.3085003992294441,0.27909168134961215,ADAPTIVE
2026-02-02 16:31:00+00:00,2026-02-02 16:38:00+00:00,8,HIGH,SYS_2,DESF_TA__KW_B,5,1.316709041595459,1.012253224849701,0.3085003992294441,0.27909168134961215,ADAPTIVE
2026-02-02 16:31:00+00:00,2026-02-02 16:38:00+00:00,8,HIGH,SYS_2,DESF_TA__KW_C,6,1.2952498197555542,0.9024595506489277,0.3085003992294441,0.27909168134961215,ADAPTIVE
2026-02-02 16:31:00+00:00,2026-02-02 16:38:00+00:00,8,HIGH,SYS_2,DESF_TA__J1_I_AVG,7,1.2793797254562378,1.0812869668006897,0.3085003992294441,0.27909168134961215,ADAPTIVE
2026-02-02 16:31:00+00:00,2026-02-02 16:38:00+00:00,8,HIGH,SYS_2,DESF_TA__J1_IA,8,1.1856751441955566,0.8906050696969032,0.3085003992294441,0.27909168134961215,ADAPTIVE
2026-02-02 16:31:00+00:00,2026-02-02 16:38:00+00:00,8,HIGH,SYS_2,DESF_TA__KVA_A,9,1.081872820854187,0.8975983411073685,0.3085003992294441,0.27909168134961215,ADAPTIVE
2026-02-02 16:31:00+00:00,2026-02-02 16:38:00+00:00,8,HIGH,SYS_2,DESF_TA__KVA_TOT,10,0.9471608996391296,0.8089529648423195,0.3085003992294441,0.27909168134961215,ADAPTIVE
2026-02-02 16:31:00+00:00,2026-02-02 16:38:00+00:00,8,HIGH,SYS_2,DESF_TA__KVA_C,11,0.8840649724006653,0.8180653154850006,0.3085003992294441,0.27909168134961215,ADAPTIVE
2026-02-02 16:31:00+00:00,2026-02-02 16:38:00+00:00,8,HIGH,SYS_2,DESF_TA__KVA_B,12,0.7741499543190002,0.6138421148061752,0.3085003992294441,0.27909168134961215,ADAPTIVE
2026-02-06 13:19:00+00:00,2026-02-06 13:29:00+00:00,11,HIGH,SYS_2,DESF_TA__J1_IC,1,1.6033958196640015,1.3195482113144614,0.3481121427758739,0.30085655457446603,ADAPTIVE
2026-02-06 13:19:00+00:00,2026-02-06 13:29:00+00:00,11,HIGH,SYS_2,DESF_TA__J1_I_AVG,2,1.5791157484054565,1.40045288476077,0.3481121427758739,0.30085655457446603,ADAPTIVE
2026-02-06 13:19:00+00:00,2026-02-06 13:29:00+00:00,11,HIGH,SYS_2,DESF_TA__J1_IB,3,1.5781251192092896,1.3126933574676514,0.3481121427758739,0.30085655457446603,ADAPTIVE
2026-02-06 13:19:00+00:00,2026-02-06 13:29:00+00:00,11,HIGH,SYS_2,DESF_TA__J1_IA,4,1.542360544204712,1.215559108690782,0.3481121427758739,0.30085655457446603,ADAPTIVE
2026-02-06 13:19:00+00:00,2026-02-06 13:29:00+00:00,11,HIGH,SYS_2,DESF_TA__KW_TOT,5,1.4256408214569092,0.8572116182609038,0.3481121427758739,0.30085655457446603,ADAPTIVE
2026-02-06 13:19:00+00:00,2026-02-06 13:29:00+00:00,11,HIGH,SYS_2,DESF_TA__KW_A,6,1.4104479551315308,0.8765626834197477,0.3481121427758739,0.30085655457446603,ADAPTIVE
2026-02-06 13:19:00+00:00,2026-02-06 13:29:00+00:00,11,HIGH,SYS_2,DESF_TA__KW_B,7,1.3773986101150513,0.8533529585058038,0.3481121427758739,0.30085655457446603,ADAPTIVE
2026-02-06 13:19:00+00:00,2026-02-06 13:29:00+00:00,11,HIGH,SYS_2,DESF_TA__KW_C,8,1.1690820455551147,0.6619356372552416,0.3481121427758739,0.30085655457446603,ADAPTIVE
2026-02-06 13:19:00+00:00,2026-02-06 13:29:00+00:00,11,HIGH,SYS_2,DESF_TA__KVA_A,9,1.154707908630371,0.9792471365495161,0.3481121427758739,0.30085655457446603,ADAPTIVE
2026-02-06 13:19:00+00:00,2026-02-06 13:29:00+00:00,11,HIGH,SYS_2,DESF_TA__KVA_C,10,1.104946494102478,0.9602310982617465,0.3481121427758739,0.30085655457446603,ADAPTIVE
