Metric,Value
Total_Timestamps,14400
Running_Timestamps,13925
Downtime_Timestamps,475
ProcessRisk_Mean,0.135
ProcessRisk_Max,0.48457
ProcessRisk_P95,0.20051
ProcessRisk_P99,0.24798
Significance_Mean,0.0347
Significance_Max,8.9869
Significance_P99,3.4376
N_Normal,11846
N_Mild,1291
N_Strong,430
N_Critical,215
Pct_Normal,85.95
Pct_Mild,9.37
Pct_Strong,3.12
Pct_Critical,1.56
Fusion_Confidence_Mean,0.7037
N_Fusion_Sources,7
Fusion_Source_Labels,"['SYS_1', 'SYS_2', 'SYS_3', 'SYS_4', 'SYS_5', 'SYS_6', 'STANDALONE']"
Top_Dominant_Subsystem,STANDALONE
Top_Dominant_Pct,78.04
