sensor,p0_1,p99_9,roc_p99_9,n_running,n_present_running,missing_pct
DESF_TA__FREC,,,,13925,13925,0.0
DESF_TA__J1_IA,86.60728571428571,238.0900403333318,112.8076815238096,13925,13925,0.0
DESF_TA__J1_IB,86.5235,238.6067551666667,114.1853871515154,13925,13925,0.0
DESF_TA__J1_IC,86.914125,238.8020859166666,113.3426918510823,13925,13925,0.0
DESF_TA__J1_I_AVG,86.77638195238094,239.1992756666641,114.0655971212124,13925,13925,0.0
DESF_TA__J2_VAB,,,,13925,13925,0.0
DESF_TA__J2_VAN,,,,13925,13925,0.0
DESF_TA__J2_VBC,,,,13925,13925,0.0
DESF_TA__J2_VBN,,,,13925,13925,0.0
DESF_TA__J2_VCA,,,,13925,13925,0.0
DESF_TA__J2_VCN,,,,13925,13925,0.0
DESF_TA__J2_V_AVG_LL,,,,13925,13925,0.0
DESF_TA__J2_V_AVG_LN,,,,13925,13925,0.0
DESF_TA__KVAR_A,643.3188833333334,983.6961606060623,195.9604560606064,13925,13925,0.0
DESF_TA__KVAR_B,641.9294303030302,958.3220333333335,178.8913886363598,13925,13925,0.0
DESF_TA__KVAR_C,6451.691916666667,9628.112083333332,1716.797500000076,13925,13925,0.0
DESF_TA__KVAR_TOT,1930.303333333333,2905.562140151517,546.3273333333334,13925,13925,0.0
DESF_TA__KVA_A,650.62925,1869.551433333334,891.059108333333,13925,13925,0.0
DESF_TA__KVA_B,650.4540340909091,1875.318708333333,895.886190476189,13925,13925,0.0
DESF_TA__KVA_C,653.3863333333334,1877.489133333334,887.8071166666612,13925,13925,0.0
DESF_TA__KVA_TOT,1954.125325,5626.077266666658,2666.535200000003,13925,13925,0.0
DESF_TA__KW_A,71.55895000000001,1589.813,1218.934441666664,13925,13925,0.0
DESF_TA__KW_B,90.64128636363637,1612.537516666666,1219.990666666677,13925,13925,0.0
DESF_TA__KW_C,91.03933333333335,1615.531000000017,1221.485822222223,13925,13925,0.0
DESF_TA__KW_TOT,256.9214,4816.403275000005,3661.504545454537,13925,13925,0.0
DESF_TA__MWH_DEL,,,,13925,13923,0.00014362657091560038
DESF_TA__PF,,,,13925,12825,0.07899461400359065
DESF_TA__PF_A,,,,13925,13370,0.039856373429084435
DESF_TA__PF_B,,,,13925,12547,0.09895870736086176
DESF_TA__PF_C,,,,13925,12528,0.10032315978456019
DESF_TA__RTD_1,,,,13925,13918,0.0005026929982047124
DESF_TA__RTD_2,,,,13925,13918,0.0005026929982047124
DESF_TA__RTD_3,,,,13925,13925,0.0
DESF_TA__RTD_4,,,,13925,13914,0.0007899461400359131
DESF_TA__RTD_5,,,,13925,13912,0.0009335727109515135
DESF_TA__RTD_6,,,,13925,13913,0.0008617594254937133
DESF_TA__RTD_7,,,,13925,13916,0.0006463195691203127
DESF_TA__RTD_8,,,,13925,13925,0.0
TT5449012H,33.03883217,57.52967442916667,2.65634412610008,13925,13925,0.0
TT5449017H,29.77441513142857,100.0,12.45390165292747,13925,13925,0.0
TT5449018H,37.87338879571428,100.0,5.898696657554694,13925,13925,0.0
VT5449011H,0.2615336092111111,1.281296830303569,0.3508097976800032,13925,13925,0.0
VT5449012A,0.4853042916619048,2.070033903766648,0.7012037022730371,13925,13925,0.0
VT5449012H,0.3793717825,1.428384180374999,0.3580271377555638,13925,13925,0.0
VT5449013H,0.3316196097,1.617114541749993,0.5048860309333454,13925,13925,0.0
VT5449016H,0.3572116312285714,1.762851812142844,0.5000862550000014,13925,13925,0.0
VT5449017A,0.3028731007375,1.87505020326665,0.8378885983377798,13925,13925,0.0
VT5449017H,0.5023503943821429,5.677125420464153,2.677035582831134,13925,13925,0.0
