sensor,n_running,n_reliable,n_degraded,n_unusable,pct_reliable,pct_degraded,pct_unusable
DESF_TA__MWH_DEL,13925,314,13609,2,2.25,97.73,0.01
DESF_TA__RTD_3,13925,8426,5499,0,60.51,39.49,0.0
DESF_TA__RTD_1,13925,8782,5136,7,63.07,36.88,0.05
DESF_TA__PF_B,13925,9020,3527,1378,64.78,25.33,9.9
DESF_TA__PF_C,13925,9072,3456,1397,65.15,24.82,10.03
DESF_TA__PF,13925,9139,3686,1100,65.63,26.47,7.9
TT5449012H,13925,9203,4687,35,66.09,33.66,0.25
DESF_TA__PF_A,13925,9453,3917,555,67.89,28.13,3.99
DESF_TA__RTD_4,13925,9552,4362,11,68.6,31.32,0.08
DESF_TA__RTD_8,13925,9629,4296,0,69.15,30.85,0.0
DESF_TA__RTD_7,13925,9696,4220,9,69.63,30.31,0.06
DESF_TA__RTD_2,13925,9859,4059,7,70.8,29.15,0.05
DESF_TA__RTD_5,13925,9936,3976,13,71.35,28.55,0.09
DESF_TA__RTD_6,13925,9972,3941,12,71.61,28.3,0.09
TT5449017H,13925,10650,3275,0,76.48,23.52,0.0
DESF_TA__J2_VAN,13925,11933,1992,0,85.69,14.31,0.0
DESF_TA__J2_VCA,13925,11934,1991,0,85.7,14.3,0.0
DESF_TA__J2_VCN,13925,11943,1982,0,85.77,14.23,0.0
DESF_TA__J2_VAB,13925,11945,1980,0,85.78,14.22,0.0
DESF_TA__J2_V_AVG_LN,13925,11954,1971,0,85.85,14.15,0.0
DESF_TA__J2_V_AVG_LL,13925,11957,1968,0,85.87,14.13,0.0
DESF_TA__J2_VBC,13925,11986,1939,0,86.08,13.92,0.0
DESF_TA__J2_VBN,13925,12007,1918,0,86.23,13.77,0.0
TT5449018H,13925,12078,1847,0,86.74,13.26,0.0
VT5449012A,13925,12171,1752,2,87.4,12.58,0.01
VT5449017A,13925,12244,1676,5,87.93,12.04,0.04
VT5449016H,13925,12318,1606,1,88.46,11.53,0.01
DESF_TA__KW_A,13925,12324,1589,12,88.5,11.41,0.09
DESF_TA__KW_TOT,13925,12325,1588,12,88.51,11.4,0.09
DESF_TA__KW_B,13925,12328,1585,12,88.53,11.38,0.09
DESF_TA__KW_C,13925,12328,1585,12,88.53,11.38,0.09
VT5449011H,13925,12357,1566,2,88.74,11.25,0.01
VT5449012H,13925,12385,1536,4,88.94,11.03,0.03
VT5449013H,13925,12405,1518,2,89.08,10.9,0.01
VT5449017H,13925,12547,919,459,90.1,6.6,3.3
DESF_TA__KVA_B,13925,12587,1324,14,90.39,9.51,0.1
DESF_TA__KVA_A,13925,12593,1319,13,90.43,9.47,0.09
DESF_TA__KVA_TOT,13925,12593,1319,13,90.43,9.47,0.09
DESF_TA__KVA_C,13925,12594,1317,14,90.44,9.46,0.1
DESF_TA__J1_I_AVG,13925,12598,1314,13,90.47,9.44,0.09
DESF_TA__J1_IB,13925,12601,1310,14,90.49,9.41,0.1
DESF_TA__J1_IA,13925,12610,1302,13,90.56,9.35,0.09
DESF_TA__J1_IC,13925,12613,1298,14,90.58,9.32,0.1
DESF_TA__KVAR_A,13925,12646,1262,17,90.82,9.06,0.12
DESF_TA__KVAR_B,13925,12679,1226,20,91.05,8.8,0.14
DESF_TA__KVAR_TOT,13925,12681,1227,17,91.07,8.81,0.12
DESF_TA__KVAR_C,13925,12710,1201,14,91.27,8.62,0.1
DESF_TA__FREC,13925,13111,814,0,94.15,5.85,0.0
