Sensor,AE_Subsystem,Has_SQS,Has_EngineA,Has_EngineB,Evidence_Mean,Evidence_Max,High_Pct,High_Count,Alarm_Count,Baseline_Sigma
DESF_TA__FREC,ISOLATED,True,True,True,0.23877,1.0,1.7%,241,256,0.176154
DESF_TA__J1_IA,SYS_2,True,True,True,0.24476,1.0,3.1%,435,484,0.171361
DESF_TA__J1_IB,SYS_2,True,True,True,0.24544,1.0,2.9%,405,453,0.176376
DESF_TA__J1_IC,SYS_2,True,True,True,0.24456,1.0,3.0%,416,467,0.172589
DESF_TA__J1_I_AVG,SYS_2,True,True,True,0.24576,1.0,2.8%,395,449,0.175968
DESF_TA__J2_VAB,SYS_6,True,True,True,0.2829,1.0,0.2%,27,36,0.284496
DESF_TA__J2_VAN,SYS_6,True,True,True,0.28357,1.0,0.3%,37,46,0.280224
DESF_TA__J2_VBC,SYS_6,True,True,True,0.28088,1.0,0.3%,40,49,0.278288
DESF_TA__J2_VBN,SYS_6,True,True,True,0.28038,1.0,0.3%,39,48,0.279032
DESF_TA__J2_VCA,SYS_6,True,True,True,0.2834,1.0,0.3%,37,46,0.279307
DESF_TA__J2_VCN,SYS_6,True,True,True,0.28268,1.0,0.3%,37,46,0.272021
DESF_TA__J2_V_AVG_LL,SYS_6,True,True,True,0.28208,1.0,0.3%,40,49,0.276083
DESF_TA__J2_V_AVG_LN,SYS_6,True,True,True,0.2821,1.0,0.3%,38,42,0.276757
DESF_TA__KVAR_A,SYS_3,True,True,True,0.24033,1.0,0.6%,85,102,0.204714
DESF_TA__KVAR_B,SYS_3,True,True,True,0.23798,1.0,0.6%,79,95,0.205117
DESF_TA__KVAR_C,SYS_3,True,True,True,0.23712,1.0,0.5%,72,85,0.193357
DESF_TA__KVAR_TOT,SYS_3,True,True,True,0.23816,1.0,0.6%,83,98,0.200232
DESF_TA__KVA_A,SYS_2,True,True,True,0.24529,1.0,2.7%,374,426,0.178571
DESF_TA__KVA_B,SYS_2,True,True,True,0.24564,1.0,2.5%,354,399,0.181724
DESF_TA__KVA_C,SYS_2,True,True,True,0.24543,1.0,2.5%,354,403,0.181766
DESF_TA__KVA_TOT,SYS_2,True,True,True,0.24552,1.0,2.6%,360,407,0.180837
DESF_TA__KW_A,SYS_2,True,True,True,0.26007,1.0,2.8%,393,447,0.213196
DESF_TA__KW_B,SYS_2,True,True,True,0.25992,1.0,2.8%,387,439,0.213373
DESF_TA__KW_C,SYS_2,True,True,True,0.26002,1.0,2.8%,392,445,0.213388
DESF_TA__KW_TOT,SYS_2,True,True,True,0.26006,1.0,2.8%,383,434,0.213845
DESF_TA__MWH_DEL,ISOLATED,True,True,True,0.95134,1.0,47.9%,6674,6693,0.091795
DESF_TA__PF,SYS_1,True,True,True,0.31378,1.0,13.1%,1822,1344,0.185133
DESF_TA__PF_A,ISOLATED,True,True,True,0.33609,1.0,6.5%,904,701,0.216787
DESF_TA__PF_B,SYS_1,True,True,True,0.30126,1.0,7.6%,1065,730,0.223004
DESF_TA__PF_C,SYS_1,True,True,True,0.29608,1.0,18.6%,2590,1936,0.135067
DESF_TA__RTD_1,SYS_4,True,True,True,0.41431,1.0,12.2%,1695,1791,0.205215
DESF_TA__RTD_2,ISOLATED,True,True,True,0.37393,1.0,0.0%,0,0,0.294386
DESF_TA__RTD_3,SYS_4,True,True,True,0.4267,1.0,10.9%,1511,1603,0.185214
DESF_TA__RTD_4,SYS_5,True,True,True,0.37262,1.0,14.3%,1986,2171,0.147909
DESF_TA__RTD_5,SYS_5,True,True,True,0.37024,1.0,8.8%,1232,1353,0.180702
DESF_TA__RTD_6,SYS_5,True,True,True,0.36549,1.0,12.5%,1740,1890,0.150974
DESF_TA__RTD_7,SYS_5,True,True,True,0.37736,1.0,1.4%,189,209,0.242395
DESF_TA__RTD_8,SYS_5,True,True,True,0.37625,1.0,15.3%,2137,2310,0.139494
TT5449012H,SYS_4,True,True,True,0.39842,1.0,8.6%,1203,1352,0.124143
TT5449017H,ISOLATED,True,True,True,0.34479,1.0,2.4%,331,393,0.195797
TT5449018H,ISOLATED,True,True,True,0.138,1.0,14.1%,1964,2154,0.07057
VT5449011H,ISOLATED,True,True,True,0.25569,1.0,0.0%,6,12,0.253352
VT5449012A,ISOLATED,True,True,True,0.26937,1.0,4.0%,558,556,0.141222
VT5449012H,ISOLATED,True,True,True,0.25631,1.0,0.0%,0,0,0.268696
VT5449013H,ISOLATED,True,True,True,0.25497,1.0,0.8%,115,131,0.23525
VT5449016H,ISOLATED,True,True,True,0.25843,1.0,1.0%,137,154,0.225661
VT5449017A,ISOLATED,True,True,True,0.25969,1.0,0.9%,126,143,0.231114
VT5449017H,ISOLATED,True,True,True,0.23121,1.0,3.5%,482,288,0.120427
