system,sensor
SYS_1,DESF_TA__J2_VAB
SYS_1,DESF_TA__J2_VAN
SYS_1,DESF_TA__J2_VBC
SYS_1,DESF_TA__J2_VBN
SYS_1,DESF_TA__J2_VCA
SYS_1,DESF_TA__J2_VCN
SYS_1,DESF_TA__J2_V_AVG_LL
SYS_1,DESF_TA__J2_V_AVG_LN
SYS_2,DESF_TA__J1_IA
SYS_2,DESF_TA__J1_IB
SYS_2,DESF_TA__J1_IC
SYS_2,DESF_TA__J1_I_AVG
SYS_2,DESF_TA__KVA_A
SYS_2,DESF_TA__KVA_B
SYS_2,DESF_TA__KVA_C
SYS_2,DESF_TA__KVA_TOT
SYS_2,DESF_TA__KW_A
SYS_2,DESF_TA__KW_B
SYS_2,DESF_TA__KW_C
SYS_2,DESF_TA__KW_TOT
SYS_3,DESF_TA__KVAR_A
SYS_3,DESF_TA__KVAR_B
SYS_3,DESF_TA__KVAR_C
SYS_3,DESF_TA__KVAR_TOT
SYS_4,DESF_TA__PF_B
SYS_4,DESF_TA__PF_C
ISOLATED,DESF_TA__MWH_DEL
ISOLATED,DESF_TA__FREC
ISOLATED,TT5449012H
ISOLATED,TT5449017H
ISOLATED,VT5449012A
ISOLATED,VT5449017H
ISOLATED,VT5449013H
ISOLATED,VT5449016H
ISOLATED,VT5449011H
ISOLATED,VT5449017A
ISOLATED,VT5449012H
ISOLATED,DESF_TA__PF
ISOLATED,DESF_TA__PF_A
