Sensor,AE_Subsystem,Has_SQS,Has_EngineA,Has_EngineB,Evidence_Mean,Evidence_Max,High_Pct,High_Count,Alarm_Count,Baseline_Sigma
DESF_TA__FREC,ISOLATED,True,True,True,0.24734,1.0,2.2%,217,229,0.199332
DESF_TA__J1_IA,SYS_1,True,True,True,0.24429,1.0,0.8%,76,87,0.218868
DESF_TA__J1_IB,SYS_1,True,True,True,0.24508,1.0,0.7%,73,84,0.223124
DESF_TA__J1_IC,SYS_1,True,True,True,0.24506,1.0,0.7%,72,82,0.222508
DESF_TA__J1_I_AVG,SYS_1,True,True,True,0.24585,1.0,0.7%,72,81,0.224011
DESF_TA__J2_VAB,SYS_4,True,True,True,0.27172,1.0,0.4%,37,46,0.268258
DESF_TA__J2_VAN,SYS_4,True,True,True,0.27234,1.0,0.4%,38,45,0.263478
DESF_TA__J2_VBC,SYS_4,True,True,True,0.27369,1.0,0.4%,39,48,0.273369
DESF_TA__J2_VBN,SYS_4,True,True,True,0.27204,1.0,0.4%,38,47,0.269547
DESF_TA__J2_VCA,SYS_4,True,True,True,0.27482,1.0,0.4%,36,45,0.271406
DESF_TA__J2_VCN,SYS_4,True,True,True,0.27462,1.0,0.4%,37,46,0.266511
DESF_TA__J2_V_AVG_LL,SYS_4,True,True,True,0.27319,1.0,0.4%,39,41,0.266616
DESF_TA__J2_V_AVG_LN,SYS_4,True,True,True,0.27292,1.0,0.4%,36,40,0.266731
DESF_TA__KVAR_A,SYS_2,True,True,True,0.23905,1.0,0.3%,31,35,0.21806
DESF_TA__KVAR_B,SYS_2,True,True,True,0.23646,1.0,0.2%,24,22,0.21166
DESF_TA__KVAR_C,SYS_2,True,True,True,0.23565,1.0,0.2%,19,21,0.204545
DESF_TA__KVAR_TOT,SYS_2,True,True,True,0.23694,1.0,0.3%,28,32,0.211939
DESF_TA__KVA_A,SYS_1,True,True,True,0.24534,1.0,0.7%,72,81,0.223423
DESF_TA__KVA_B,SYS_1,True,True,True,0.24555,1.0,0.7%,69,80,0.225514
DESF_TA__KVA_C,SYS_1,True,True,True,0.24524,1.0,0.7%,69,81,0.22546
DESF_TA__KVA_TOT,SYS_1,True,True,True,0.24533,1.0,0.7%,71,82,0.224842
DESF_TA__KW_A,SYS_1,True,True,True,0.25507,1.0,1.0%,102,121,0.229594
DESF_TA__KW_B,SYS_1,True,True,True,0.25534,1.0,1.0%,96,115,0.229954
DESF_TA__KW_C,SYS_1,True,True,True,0.25539,1.0,0.9%,93,105,0.230118
DESF_TA__KW_TOT,SYS_1,True,True,True,0.25524,1.0,1.0%,97,116,0.230016
DESF_TA__MWH_DEL,ISOLATED,True,True,True,0.95547,1.0,99.0%,9809,9811,0.071558
DESF_TA__PF,SYS_3,True,True,True,0.31543,1.0,8.5%,847,670,0.215711
DESF_TA__PF_A,ISOLATED,True,True,True,0.3347,1.0,6.1%,603,441,0.220239
DESF_TA__PF_B,SYS_3,True,True,True,0.29998,1.0,8.3%,820,606,0.224812
DESF_TA__PF_C,SYS_3,True,True,True,0.29727,1.0,19.0%,1883,1553,0.134518
TT5449012H,ISOLATED,True,True,True,0.39551,1.0,9.4%,935,1055,0.124143
TT5449017H,ISOLATED,True,True,True,0.34175,1.0,2.6%,258,316,0.188146
VT5449011H,ISOLATED,True,True,True,0.26,1.0,0.0%,0,0,0.272496
VT5449012A,ISOLATED,True,True,True,0.28194,1.0,3.4%,339,320,0.162184
VT5449012H,ISOLATED,True,True,True,0.26255,1.0,0.0%,0,0,0.290421
VT5449013H,ISOLATED,True,True,True,0.25803,1.0,0.7%,68,77,0.242417
VT5449016H,ISOLATED,True,True,True,0.25779,1.0,0.9%,88,96,0.230882
VT5449017A,ISOLATED,True,True,True,0.26107,1.0,0.1%,13,16,0.254292
VT5449017H,ISOLATED,True,True,True,0.23948,1.0,4.2%,413,274,0.12162
