Metric,Value
Total_Timestamps,10080
Running_Timestamps,9913
Downtime_Timestamps,167
ProcessRisk_Mean,0.12689
ProcessRisk_Max,0.51361
ProcessRisk_P95,0.23552
ProcessRisk_P99,0.40897
Significance_Mean,0.0109
Significance_Max,9.2499
Significance_P99,4.7125
N_Normal,8733
N_Mild,604
N_Strong,172
N_Critical,261
Pct_Normal,89.39
Pct_Mild,6.18
Pct_Strong,1.76
Pct_Critical,2.67
Fusion_Confidence_Mean,0.7301
N_Fusion_Sources,5
Fusion_Source_Labels,"['SYS_1', 'SYS_2', 'SYS_3', 'SYS_4', 'STANDALONE']"
Top_Dominant_Subsystem,STANDALONE
Top_Dominant_Pct,96.64
