timestamp_utc,DESF_TA__J1_IA,DESF_TA__J1_IB,DESF_TA__J1_IC,DESF_TA__J1_I_AVG,DESF_TA__KVA_A,DESF_TA__KVA_B,DESF_TA__KVA_C,DESF_TA__KVA_TOT,DESF_TA__KW_A,DESF_TA__KW_B,DESF_TA__KW_C,DESF_TA__KW_TOT
2026-02-01 00:00:00+00:00,195.39365,196.04953,196.39606,196.01723,1535.2943,1540.9697,1544.417,4620.536,1257.2548,1275.4359,1280.4944,3813.1904
2026-02-01 00:01:00+00:00,181.97775,182.59813,183.08069,182.6386,1431.5629,1436.6216,1441.0138,4309.0195,1147.1785,1164.9509,1170.4156,3482.5352
2026-02-01 00:02:00+00:00,182.16917,182.72243,183.12053,182.68446,1431.8269,1437.6423,1441.5962,4310.854,1148.0327,1166.4097,1171.2922,3485.7385
2026-02-01 00:03:00+00:00,186.10602,186.7494,187.19366,186.77203,1464.4452,1469.504,1473.6118,4407.2646,1182.0667,1199.9254,1205.3,3587.2861
2026-02-01 00:04:00+00:00,197.75392,198.70566,199.11156,198.6235,1555.3538,1561.2769,1565.625,4682.0923,1278.2596,1297.2577,1302.6038,3878.121
2026-02-01 00:05:00+00:00,180.6786,181.23608,181.70354,181.23799,1419.5573,1425.0482,1429.4393,4273.932,1134.9786,1153.2839,1158.4017,3446.6643
2026-02-01 00:06:00+00:00,194.11816,194.44293,195.2374,194.7964,1524.0416,1529.5453,1533.8057,4587.2905,1245.6698,1263.998,1269.5189,3779.1963
2026-02-01 00:07:00+00:00,176.47409,176.30212,177.54277,176.35248,1382.6852,1387.4425,1391.8,4161.7886,1090.2908,1107.7908,1113.0555,3311.139
2026-02-01 00:08:00+00:00,151.33401,151.96823,152.47903,151.87677,1191.9529,1196.1415,1200.4397,3588.4944,876.5906,893.27734,899.1366,2667.9717
2026-02-01 00:09:00+00:00,165.91992,166.49309,166.88371,166.5097,1307.4241,1312.3982,1316.0131,3935.7761,1010.54816,1027.6222,1032.3667,3070.537
2026-02-01 00:10:00+00:00,154.30446,154.76128,155.15192,154.74875,1216.0924,1220.6,1224.4283,3661.0056,903.8754,920.5698,925.27924,2749.7302
2026-02-01 00:11:00+00:00,151.77354,152.27344,152.8381,152.37732,1196.65,1200.902,1205.478,3602.8982,881.872,898.69604,903.75397,2684.3118
2026-02-01 00:12:00+00:00,133.25471,133.75912,134.31604,133.91425,1049.6091,1053.5072,1058.4491,3161.4346,700.42365,716.9527,721.49274,2138.7036
2026-02-01 00:13:00+00:00,165.35077,166.10706,166.28993,165.92949,1303.1292,1307.9501,1311.0667,3922.0188,1007.05206,1023.66254,1028.1271,3058.8523
2026-02-01 00:14:00+00:00,154.8497,155.2012,155.52666,155.21295,1216.0593,1220.4537,1223.6462,3659.9854,909.8426,925.8667,930.2296,2765.861
2026-02-01 00:15:00+00:00,167.61504,168.00641,168.32935,168.02618,1316.0717,1320.5038,1322.0547,3959.668,1025.3396,1041.3982,1045.983,3112.7263
2026-02-01 00:16:00+00:00,165.58826,166.08197,166.33392,165.99619,1298.0186,1302.4019,1305.313,3905.5981,1006.42035,1022.38153,1026.9222,3055.7146
2026-02-01 00:17:00+00:00,168.38121,168.85126,169.15517,168.84865,1319.7296,1323.7593,1326.5444,3969.9092,1025.8167,1041.4186,1046.2815,3113.439
2026-02-01 00:18:00+00:00,182.3243,182.88011,183.113,182.8297,1429.2461,1433.8308,1436.3962,4299.344,1147.7922,1164.0096,1168.9019,3480.6963
2026-02-01 00:19:00+00:00,139.41562,140.24213,140.25694,139.89864,1094.5404,1098.4269,1101.8019,3294.6443,756.7423,772.2288,776.4827,2305.4539
2026-02-01 00:20:00+00:00,198.33989,198.83638,199.06416,198.82256,1555.4418,1559.7959,1562.1749,4677.3003,1280.8646,1297.0687,1302.4146,3880.3396
2026-02-01 00:21:00+00:00,179.95325,180.12411,180.70314,180.1187,1410.7384,1414.9403,1417.3711,4242.904,1127.6154,1143.3,1148.3577,3419.177
2026-02-01 00:22:00+00:00,153.09616,153.58803,153.83258,153.58769,1204.4166,1208.3574,1211.5685,3624.213,894.3185,909.98517,914.5667,2718.876
2026-02-01 00:23:00+00:00,172.94112,173.16336,173.99097,173.95819,1365.1572,1369.2611,1371.7917,4106.0796,1074.7837,1090.451,1095.3326,3260.5613
2026-02-01 00:24:00+00:00,186.3358,186.76482,187.01935,186.78375,1466.6604,1470.4792,1473.2792,4410.245,1183.317,1199.0283,1204.5585,3586.915
2026-02-01 00:25:00+00:00,153.10947,153.38799,153.73782,153.58183,1204.1788,1207.8788,1211.3923,3623.2595,892.1192,907.5058,912.475,2712.1
2026-02-01 00:26:00+00:00,169.00545,169.5538,169.83179,169.52597,1328.4347,1332.9115,1335.9442,3997.1597,1037.2269,1053.4692,1058.2693,3148.9614
2026-02-01 00:27:00+00:00,175.67075,176.32967,176.5994,176.265,1378.6415,1384.085,1386.7095,4149.302,1092.585,1109.6906,1113.8396,3316.1377
2026-02-01 00:28:00+00:00,185.14229,185.80498,186.0631,185.74425,1450.6625,1456.5197,1458.709,4365.768,1173.4393,1190.8768,1194.7804,3559.1035
2026-02-01 00:29:00+00:00,170.91624,171.51997,171.81288,171.4752,1336.3909,1341.8251,1344.3296,4026.1545,1052.6023,1069.4432,1073.4683,3195.5068
2026-02-01 00:30:00+00:00,179.61998,180.08568,180.40869,180.13547,1404.0846,1407.8904,1410.8153,4222.5425,1125.4558,1141.0635,1146.2577,3412.698
2026-02-01 00:31:00+00:00,201.77232,202.29314,202.46674,202.25436,1574.7037,1579.1259,1581.1093,4734.787,1305.6278,1321.7833,1326.85,3954.263
2026-02-01 00:32:00+00:00,201.99005,202.50598,202.74985,202.47374,1575.8452,1580.1981,1581.9,4733.7847,1307.2999,1323.1207,1329.6471,3958.53
2026-02-01 00:33:00+00:00,187.98653,188.86732,188.62688,188.87416,1468.2593,1472.5352,1474.5927,4415.298,1197.4186,1213.0333,1217.9019,3628.4075
2026-02-01 00:34:00+00:00,207.48093,207.69984,207.80504,208.00871,1614.7131,1619.9623,1621.0339,4855.5566,1345.1057,1361.7075,1366.0133,4072.819
2026-02-01 00:35:00+00:00,198.53914,199.07817,198.72456,198.97371,1543.27,1547.884,1548.8779,4639.928,1274.836,1290.374,1294.768,3859.7258
2026-02-01 00:36:00+00:00,176.3147,176.7278,176.87051,176.71498,1371.5193,1375.1018,1376.2365,4117.052,1088.3442,1104.6384,1109.1481,3297.8672
2026-02-01 00:37:00+00:00,188.08235,188.45813,188.64246,188.4603,1458.5038,1461.7528,1463.3773,4383.5337,1189.5491,1203.8528,1209.0812,3602.483
2026-02-01 00:38:00+00:00,184.16861,184.56668,185.10376,184.15778,1425.1389,1428.789,1430.4241,4284.224,1153.6908,1168.2537,1173.2167,3495.1797
2026-02-01 00:39:00+00:00,199.0656,199.56348,199.68607,199.50697,1547.198,1551.2616,1552.8269,4651.1387,1280.7423,1296.0712,1301.05,3877.8616
2026-02-01 00:40:00+00:00,185.31406,185.59114,185.82697,185.5785,1444.2622,1448.483,1450.9359,4343.5376,1170.1283,1185.9264,1190.9792,3547.0095
2026-02-01 00:41:00+00:00,208.61674,208.96103,209.31378,209.09128,1627.3882,1631.7667,1633.8569,4892.8647,1359.8882,1376.0569,1381.4686,4117.404
2026-02-01 00:42:00+00:00,176.81255,177.3974,177.56595,177.35114,1379.4803,1384.6765,1386.3177,4150.351,1100.8883,1116.9843,1120.9961,3338.8784
2026-02-01 00:43:00+00:00,202.99483,203.6242,203.71825,203.17917,1579.58,1585.0236,1586.0981,4750.578,1311.1018,1327.8054,1331.7837,3970.6963
2026-02-01 00:44:00+00:00,184.9131,185.76906,185.77225,185.42383,1441.6906,1447.2585,1448.2131,4337.051,1167.4774,1185.4115,1187.2811,3538.4512
2026-02-01 00:45:00+00:00,198.1426,198.81223,198.81224,198.68166,1544.9142,1550.6143,1551.1449,4646.5347,1277.3755,1293.7551,1297.5387,3868.6614
2026-02-01 00:46:00+00:00,202.25195,202.91054,202.94481,202.78166,1576.6624,1583.0232,1583.1624,4742.321,1309.4473,1326.366,1329.9567,3965.6943
2026-02-01 00:47:00+00:00,193.65402,193.87564,194.41487,194.19977,1510.8754,1516.2755,1517.7859,4544.8296,1239.7157,1256.2755,1260.4474,3756.449
2026-02-01 00:48:00+00:00,180.62923,181.24312,181.41055,181.16837,1409.7839,1415.0126,1416.7053,4241.3784,1132.3411,1148.5339,1152.5089,3433.3677
2026-02-01 00:49:00+00:00,216.87357,217.32281,217.34532,217.19727,1690.9673,1696.4462,1697.3365,5084.6094,1424.7307,1441.6654,1445.9558,4312.352
2026-02-01 00:50:00+00:00,183.57721,184.72505,184.37506,184.15315,1436.9396,1439.7703,1444.1918,4324.1,1160.8792,1177.8792,1181.15,3519.902
2026-02-01 00:51:00+00:00,162.65633,163.38785,163.50154,163.2478,1269.7236,1276.0691,1277.3201,3822.9983,979.27997,996.05817,998.6982,2973.9438
2026-02-01 00:52:00+00:00,208.0043,208.84946,208.57208,208.74931,1622.8177,1630.2448,1630.1875,4883.2144,1357.4197,1375.6482,1378.3535,4111.418
2026-02-01 00:53:00+00:00,184.79465,185.57585,186.39583,185.35608,1440.22,1446.4928,1447.0292,4333.635,1166.1418,1182.8945,1185.9781,3535.0198
2026-02-01 00:54:00+00:00,164.77626,165.46422,165.65509,165.45523,1287.5,1292.2059,1293.851,3874.3396,1000.1423,1015.82074,1018.81323,3034.7263
2026-02-01 00:55:00+00:00,180.54123,181.20663,181.22835,181.06644,1410.1482,1415.5834,1416.4962,4241.8184,1131.3334,1147.4445,1150.8296,3429.548
2026-02-01 00:56:00+00:00,180.88383,181.38303,181.22513,181.37177,1413.348,1418.223,1419.5396,4250.9956,1135.227,1151.0062,1154.9979,3441.2207
2026-02-01 00:57:00+00:00,162.66652,163.24515,163.41878,163.18211,1271.6704,1276.6149,1278.2611,3826.4407,980.69446,996.2963,1000.0333,2977.0278
2026-02-01 00:58:00+00:00,182.05301,182.61003,182.8126,182.54709,1423.8851,1428.5779,1430.5297,4282.8945,1146.2334,1162.1315,1166.6611,3475.1094
2026-02-01 00:59:00+00:00,183.83975,184.33884,184.50526,184.2904,1437.8741,1442.4297,1444.0444,4324.2183,1161.4241,1177.1722,1181.5297,3520.124
2026-02-01 01:00:00+00:00,181.11165,181.43346,181.9482,181.22679,1414.9902,1419.9686,1421.6177,4256.4863,1137.202,1153.3058,1157.5824,3448.09
2026-02-01 01:01:00+00:00,176.33641,176.91135,177.13817,176.87971,1380.9087,1385.8754,1387.628,4154.2876,1099.672,1115.6685,1119.8544,3335.1895
